name,url
Le Penjab,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3242991-Reviews-Le_Penjab-Lyon_Rhone_Auvergne_Rhone_Alpes.html
L'Épicerie de Ginette - Bistrot à Tartines - Lyon 2,https://www.tripadvisor.fr/Restaurant_Review-g187265-d790236-Reviews-L_Epicerie_de_Ginette_Bistrot_a_Tartines_Lyon_2-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Merle Huîtres Et Coquillages,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3687282-Reviews-Merle_Huitres_Et_Coquillages-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Le Comptoir Cecil,https://www.tripadvisor.fr/Restaurant_Review-g187265-d15206579-Reviews-Le_Comptoir_Cecil-Lyon_Rhone_Auvergne_Rhone_Alpes.html
La Cabane,https://www.tripadvisor.fr/Restaurant_Review-g187265-d7596737-Reviews-La_Cabane-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Le Comptoir Libanais,https://www.tripadvisor.fr/Restaurant_Review-g187265-d23536439-Reviews-Le_Comptoir_Libanais-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Cafe Comptoir Abel,https://www.tripadvisor.fr/Restaurant_Review-g187265-d966700-Reviews-Cafe_Comptoir_Abel-Lyon_Rhone_Auvergne_Rhone_Alpes.html
"Bacchanales, restaurant gastronomique.",https://www.tripadvisor.fr/Restaurant_Review-g187265-d27110210-Reviews-Bacchanales_restaurant_gastronomique-Lyon_Rhone_Auvergne_Rhone_Alpes.html
La Table de Max,https://www.tripadvisor.fr/Restaurant_Review-g187265-d15639122-Reviews-La_Table_de_Max-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Epona Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187265-d17381290-Reviews-Epona_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Brasserie Bouillon Baratte Lyonnaise,https://www.tripadvisor.fr/Restaurant_Review-g187265-d18719136-Reviews-Brasserie_Bouillon_Baratte_Institution_Lyonnaise-Lyon_Rhone_Auvergne_Rhone_Alpes.html
L'Étage,https://www.tripadvisor.fr/Restaurant_Review-g187265-d2284897-Reviews-L_Etage-Lyon_Rhone_Auvergne_Rhone_Alpes.html
L'abri Du Dragon,https://www.tripadvisor.fr/Restaurant_Review-g187265-d23596591-Reviews-L_abri_du_dragon-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Restaurant Cafe Du Soleil,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3137201-Reviews-Restaurant_Cafe_Du_Soleil-Lyon_Rhone_Auvergne_Rhone_Alpes.html
L'Authentik Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187265-d21177672-Reviews-L_Authentik_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html
