,user,user_profile,date_review,title,rating,type_visit,num_contributions,review
69,Baghera17,Baghera17,16 juin 2018,Exquis sushis,5.0,couples,71,"Accueil parfait, menu délicieux, sushis d'une finesse extraordinaire. Décore intimiste.
Le chef vient vous voir à votre table.
A recommander vivement !"
70,Cchachou,Cchachou,11 juin 2018,restaurant en couple,2.0,couples,3,le rapport qualiter prix et mauvais pas rapport a se que ce surpris des prix élever sinon bonne acceuil. 
71,Sarah L,sarahlS7762HI,24 mai 2018,Une tuerie,5.0,none,10,"Sushis EX-CE-LLENTS 
Comme dit dans le titre c’est une vraie tuerie. J’ai rarement mangé du poisson aussi bon. On mange extrêmement bien, et le service est impeccable. 

C’est très sympa de nous expliquer comment manger les sushis et dans quel ordre avant de commencer à attaquer! "
72,Fidel46,fidel46,23 mai 2018,Petit restaurant japonais qui vaut le détour,4.0,friends,110,"Super petit endroit avec une deco simple mais jolie . Très bon accueil, mais surtout des plats de qualité , excellent sushis . Pas un énorme choix , mais ce qui est proposé est parfait . 
Large choix de saké. Les desserts pourraient être un peu plus variés . 
Dans l ensemble un établissement à conseiller "
73,Doudoubisous,Doudoubisous,15 mai 2018,Incroyablement efficace,5.0,family,10,"Nous y sommes allés en famille suite aux commentaires. Décor poétique, service très agréable et sushis délicieux. 

Le chef a pris le temps de se déplacer à notre table.

Je recommande et reviendrai."
74,mylittletrip38,mylittletrip38,12 mai 2018,merveilleux,5.0,family,363,"sûrement le meilleur japonais où nous avons pu mangé (avec Kiku à Paris)
super jolie décoration
serveuses et chef très gentils
poissons super frais, sushis, sashimis et makis d'exception
nous avons pris les menus ""wasabi"" et ""ebi"" et c'était top top top
ne ratez pas ce restaurant si vous venez à lyon ! (réservez!!)"
75,Clement D,ClementD167,4 mai 2018,Une agréable découverte !,5.0,couples,1,Un vrai régal de l’entrée au dessert ! Petit endroit cosy avec une équipe sympathique. Le chef n’a pas hésité à venir nous donner des explications sur les plats et sur les traditions à respecter pour les manger. Je recommande fortement ce lieu rempli de charme et de traditions. Après votre visite vous ne pourrez plus manger de sushis ailleurs 😊
76,Frédéric A,frederic-adda,20 avril 2018,Les meilleurs sushis de Lyon,5.0,family,21,"Oui il y a d’autres restaurants typiquement japonais à Lyon mais la plupart proposent autre chose que des sushis. 
Celui-ci est mon préféré, avec une excellence dans le goût et la fraîcheur des sushis toujours constante depuis des années. 
La preuve en photos (c’est aussi bon que beau). "
77,nath487,nath487,11 mars 2018,Excellent restaurant japonais,5.0,business,28,"Repas délicieux du début à la fin, des saveurs subtiles dans tous les plats y compris la soupe « rince bouche ». Deco sympa et service impeccable. Rien à voir avec un restau sushis classique . Alors oui, c’est un peu cher mais on est à un autre niveau de qualité. "
78,Maria E,Melbouri,5 mars 2018,Une véritable expérience,5.0,couples,24,"De passage à Lyon nous sommes allés manger dans ce restaurant suite à la lecture des avis Triadvisor, et bien ça vaut vraiment le détour. 
Tout d'abord la déco, de l'extérieur le restaurant l'a l'air de rien mais une fois dedans la déco est d'un poétique... des loupiottes partout, des petits mobile accrochés à des fils u au murs, une horloge qui donne l'heure de ""L'instant éternel""...etc. 
Le chef est un vrai japonais qui prend son travail à coeur et veut vraiment vous faire savourer un moment de cuisine. Ici pas des éternels soupe miso + salade de choux en entrée... on vous explique comment manger les sushis et makis, et dans quel ordre.
Bien entendu les produits sont exceptionnels !! On ne veut plus manger de sushi autre part seul hic, nous habitons à 500km ^^
Il est évident que c'est une adresse à recommander, attention ce n'est pas pour toutes les bourses mais l'extraordinaire se paie !"
79,Yoann P,yoannp330,26 février 2018,L’attention du détail,5.0,couples,10,"Agréable surprise. C’est pas donné. 86€ à deux. Mais alors niveau saveur c’est quelque chose que j’ai rarement connu, pour ne pas dire jamais. C’est pour l’instant le meilleur sushi que j’ai fait. Les assiettes sont très bien présentée, avec une attention toute particulière portée aux détails. On nous explique comment savourer. La serveuse est agréable, toute l’équipe aussi. J’ai rien à redire. Bon moment. "
80,Francesco2769,Francesco2769,10 février 2018,Voyage au pays du soleil levant,5.0,couples,9,"Pour être allé au Japon,  je dois dire qu'au restaurant Wasabi on s'y croirait ! 
Les sushis sont exceptionnels,  le service est très bon, la deco très originale. 
Les prix sont un peu élevés mais cela vaut la peine.  
Les meilleurs sushis de Lyon tout simplement.  "
81,"Julie, Pierre & Raphaël",Y3673AUjulieb,4 février 2018,Top top top,5.0,couples,28,"Juste excellent, produits frais de grande qualité. Des mets raffinés, bien présentés. Pour les amateurs de cuisine Nippone, c’est un must. À faire sans hésitation "
82,Geoffrey B,geoffreyb822,23 janvier 2018,"Une merveille à faire, tout simplement",5.0,couples,17,"Il n’y a même pas grand chose à dire sur ce restaurant tant la nourriture proposée est exceptionnelle et de qualité.

Ne vous attendez pas à du bling bling, la pièce n’est pas immense, elle est sobre, pas de tape à l’œil, vous êtes ici pour manger de délicieux mets japonais.

La carte est riche, on propose des formules allant jusqu’à 50€, toutes bien garnies et avec les plats convenablement réparties. Vous ne voulez pas mettre plus de 40€? Qu’à cela ne tienne, vous n’aurez pas beaucoup de sushis mais vous aurez des sushis d’une qualité totalement remarquable.

Vous allez tomber adeptes de poisson cru car vous allez probablement découvrir ce que c’est de manger du véritable bon poisson cru, vos papilles ne vont pas en revenir de cette texture et de ce goût si riche. La salade au saumon en entrée vous met immédiatement dans le bain, un joli prémisse pour vous faire comprendre d’entrée que vous allez manger exceptionnellement bien.

Si vous avez l’habitude de manger des petits sushis dans des endroits beaucoup moins chers, vous allez découvrir ce que sont des vrais sushis. On vous apprendra même à les manger correctement car honnêtement, on gâche le goût de ce met si fin. Vous allez voir que les véritables sushis ne rentrent à peine dans votre bouche tant ils sont généreux.

Le repas est très copieux, gros mangeurs vous allez être servi.

Si vous trouvez ce restaurant trop cher, au lieu d’aller une fois par semaine faire du restaurant rapide type sushis ou autre, arrêtez tout et économisez pour aller ici une fois par mois, je vous le jure, vous serez tellement ébahi par la saveur des plats que vous ne pourrez plus faire demi tour."
83,Yoann R,yoannr863,19 janvier 2018,Super découverte,5.0,couples,45,"Vous ne mangerez plus jamais de sushi '' industriel '' après votre passage au wazabi.
C'est vraiment tres bon, le conseil, les produits, le goût... Tout y est.

C'est une bonne adresse. Je me Suis régalé. "
84,gagnepainsophie01,gagnepainsophie01,19 janvier 2018,que de saveurs!!,5.0,friends,30,"le voyage commence dés l'entrée,la déco dépayse tout de suite!!cadre apaisant!
cuisine délicieuse,de qualité et pleine de saveurs!
service impeccable!"
85,Jajaja003,Jajaja003,12 janvier 2018,Une merveille pour les papilles,5.0,couples,25,"Nous sommes des amoureux incontestés de la nourriture japonaise et plus particulièrement des sushis . Cela faisait quelques mois que nous avions eu écho du wasabi et nous avons passés le cap hier soir . Le lieu est sublime , romantique et apaisant . Et que dire des sushis et du poisson en général ? Succulent et impressionnant . Merci au chef Kim et à son équipe ! "
